iter	Passed	Remaining
0	146	219071
1	147	110145
2	147	73653
3	148	55393
4	148	44474
5	149	37198
6	149	31976
7	150	28069
8	151	25020
9	151	22592
10	152	20616
11	153	18978
12	153	17570
13	154	16349
14	154	15304
15	155	14401
16	156	13608
17	156	12886
18	157	12242
19	157	11645
20	157	11116
21	158	10638
22	158	10203
23	159	9805
24	159	9439
25	160	9098
26	160	8781
27	161	8490
28	161	8217
29	162	7963
30	163	7727
31	163	7502
32	164	7295
33	164	7098
34	165	6918
35	165	6748
36	166	6587
37	167	6431
38	167	6284
39	168	6145
40	168	6013
41	169	5884
42	169	5759
43	170	5652
44	171	5544
45	172	5437
46	172	5335
47	173	5239
48	173	5145
49	174	5054
50	174	4969
51	175	4886
52	176	4810
53	176	4729
54	177	4656
55	177	4586
56	178	4518
57	179	4456
58	179	4391
59	180	4330
60	181	4271
61	181	4213
62	182	4154
63	182	4102
64	183	4051
65	184	4000
66	184	3950
67	185	3902
68	185	3855
69	186	3807
70	186	3761
71	187	3718
72	187	3674
73	188	3633
74	189	3592
75	189	3555
76	190	3517
77	190	3479
78	191	3441
79	191	3404
80	192	3368
81	192	3333
82	193	3299
83	193	3266
84	194	3234
85	194	3202
86	195	3172
87	195	3142
88	196	3113
89	197	3087
90	197	3059
91	198	3034
92	198	3007
93	199	2981
94	199	2955
95	200	2931
96	201	2907
97	201	2884
98	202	2861
99	202	2838
100	203	2817
101	204	2796
102	204	2774
103	205	2752
104	205	2731
105	206	2710
106	206	2691
107	207	2670
108	207	2650
109	208	2631
110	208	2612
111	209	2593
112	209	2575
113	210	2557
114	210	2538
115	211	2521
116	211	2504
117	212	2488
118	213	2471
119	213	2456
120	214	2440
121	214	2425
122	215	2410
123	216	2397
124	216	2382
125	217	2368
126	217	2354
127	218	2339
128	218	2324
129	219	2310
130	219	2296
131	220	2283
132	220	2270
133	221	2256
134	222	2244
135	222	2232
136	223	2219
137	223	2206
138	224	2194
139	224	2182
140	225	2170
141	225	2158
142	226	2147
143	226	2136
144	227	2124
145	227	2113
146	228	2102
147	229	2092
148	229	2081
149	230	2072
150	230	2063
151	231	2053
152	232	2044
153	232	2033
154	233	2024
155	233	2014
156	234	2003
157	234	1994
158	235	1985
159	235	1975
160	236	1965
161	236	1956
162	237	1946
163	237	1937
164	238	1929
165	238	1920
166	239	1910
167	239	1902
168	240	1893
169	240	1884
170	241	1876
171	242	1868
172	242	1860
173	243	1853
174	243	1846
175	244	1839
176	245	1832
177	245	1825
178	246	1818
179	246	1810
180	247	1803
181	247	1795
182	248	1788
183	249	1781
184	249	1773
185	250	1766
186	250	1759
187	251	1753
188	251	1746
189	252	1739
190	252	1732
191	253	1726
192	253	1719
193	254	1713
194	255	1706
195	255	1700
196	256	1694
197	256	1689
198	257	1683
199	258	1677
200	258	1672
201	259	1666
202	259	1660
203	260	1655
204	261	1649
205	261	1644
206	262	1638
207	262	1632
208	263	1627
209	264	1622
210	264	1617
211	265	1611
212	265	1606
213	266	1601
214	266	1595
215	267	1590
216	268	1584
217	268	1578
218	268	1573
219	269	1567
220	270	1562
221	270	1557
222	271	1552
223	271	1547
224	272	1541
225	272	1536
226	273	1531
227	273	1526
228	274	1522
229	274	1517
230	275	1512
231	275	1507
232	276	1503
233	276	1498
234	277	1493
235	277	1488
236	278	1484
237	278	1479
238	279	1474
239	280	1470
240	280	1465
241	281	1461
242	281	1456
243	282	1452
244	282	1447
245	283	1443
246	283	1438
247	284	1433
248	284	1430
249	285	1426
250	285	1422
251	286	1418
252	287	1414
253	287	1411
254	288	1407
255	288	1403
256	289	1400
257	290	1397
258	290	1393
259	291	1389
260	291	1385
261	292	1382
262	293	1378
263	293	1375
264	294	1371
265	294	1367
266	295	1364
267	295	1360
268	296	1356
269	296	1352
270	297	1348
271	297	1344
272	298	1341
273	299	1337
274	299	1335
275	300	1331
276	300	1328
277	301	1324
278	301	1321
279	302	1318
280	303	1315
281	303	1311
282	304	1308
283	304	1305
284	305	1302
285	306	1300
286	307	1297
287	307	1294
288	308	1292
289	308	1288
290	309	1285
291	309	1282
292	310	1278
293	310	1275
294	311	1272
295	311	1268
296	312	1265
297	313	1262
298	313	1259
299	314	1256
300	314	1253
301	315	1250
302	315	1247
303	316	1244
304	316	1240
305	317	1238
306	317	1235
307	318	1232
308	319	1230
309	320	1228
310	320	1226
311	321	1223
312	321	1220
313	322	1217
314	322	1214
315	323	1211
316	323	1208
317	324	1205
318	324	1202
319	325	1199
320	325	1196
321	326	1193
322	326	1191
323	327	1188
324	328	1186
325	328	1184
326	329	1181
327	330	1179
328	330	1177
329	331	1174
330	331	1171
331	332	1169
332	333	1167
333	333	1165
334	334	1162
335	334	1160
336	335	1157
337	335	1154
338	336	1152
339	337	1150
340	337	1148
341	338	1145
342	338	1142
343	339	1141
344	340	1139
345	340	1137
346	341	1134
347	342	1132
348	342	1130
349	343	1128
350	344	1126
351	344	1124
352	345	1121
353	345	1119
354	346	1117
355	347	1115
356	347	1113
357	348	1111
358	349	1109
359	349	1107
360	350	1105
361	351	1104
362	351	1102
363	352	1100
364	353	1098
365	354	1097
366	354	1095
367	355	1093
368	356	1091
369	356	1089
370	357	1087
371	358	1086
372	358	1084
373	359	1082
374	359	1079
375	360	1077
376	361	1076
377	361	1074
378	362	1072
379	363	1070
380	363	1067
381	364	1066
382	365	1064
383	365	1063
384	366	1061
385	367	1060
386	368	1058
387	368	1056
388	369	1054
389	370	1053
390	370	1052
391	371	1050
392	372	1049
393	373	1047
394	373	1045
395	374	1043
396	374	1041
397	375	1039
398	375	1037
399	376	1035
400	377	1033
401	377	1031
402	378	1029
403	378	1028
404	379	1026
405	380	1024
406	380	1022
407	381	1020
408	381	1018
409	382	1017
410	383	1015
411	383	1013
412	384	1011
413	384	1009
414	385	1007
415	385	1005
416	386	1003
417	386	1001
418	387	999
419	387	997
420	388	994
421	388	993
422	389	990
423	389	988
424	390	986
425	390	984
426	391	983
427	391	981
428	392	979
429	393	978
430	393	976
431	394	974
432	394	973
433	395	971
434	396	970
435	397	968
436	397	967
437	398	966
438	399	964
439	399	962
440	400	960
441	400	959
442	401	957
443	401	955
444	402	954
445	403	953
446	403	951
447	404	949
448	405	948
449	405	946
450	406	945
451	406	943
452	407	941
453	407	939
454	408	938
455	409	937
456	409	935
457	410	934
458	411	932
459	411	931
460	412	929
461	413	928
462	413	926
463	414	924
464	414	923
465	415	921
466	415	920
467	416	918
468	417	916
469	417	915
470	418	913
471	418	911
472	419	910
473	419	908
474	420	906
475	420	905
476	421	903
477	421	902
478	422	900
479	422	898
480	423	897
481	423	895
482	424	893
483	425	892
484	425	890
485	426	889
486	426	887
487	427	886
488	428	885
489	428	883
490	429	882
491	430	881
492	430	879
493	431	877
494	431	876
495	432	874
496	432	873
497	433	871
498	433	870
499	434	868
500	434	867
501	435	865
502	436	864
503	436	862
504	437	861
505	437	859
506	438	858
507	438	856
508	439	855
509	439	853
510	440	852
511	441	851
512	441	850
513	442	849
514	443	848
515	443	846
516	444	845
517	445	843
518	445	842
519	446	840
520	446	839
521	447	838
522	447	836
523	448	835
524	449	834
525	449	833
526	450	831
527	451	830
528	451	829
529	452	827
530	452	826
531	453	824
532	453	823
533	454	821
534	454	820
535	455	818
536	455	817
537	456	815
538	456	814
539	457	813
540	457	811
541	458	810
542	458	808
543	459	807
544	459	805
545	460	804
546	461	803
547	461	802
548	462	800
549	462	799
550	463	798
551	463	796
552	464	795
553	465	794
554	465	792
555	466	791
556	466	790
557	467	788
558	467	787
559	468	786
560	469	785
561	469	784
562	470	783
563	471	781
564	471	780
565	472	779
566	473	778
567	473	777
568	474	776
569	475	775
570	475	774
571	476	772
572	476	771
573	477	770
574	478	769
575	478	767
576	479	766
577	479	765
578	480	763
579	480	762
580	481	761
581	481	760
582	482	759
583	483	758
584	484	757
585	484	755
586	485	754
587	485	753
588	486	751
589	486	751
590	487	750
591	488	749
592	489	748
593	490	747
594	490	746
595	491	745
596	492	744
597	492	743
598	493	742
599	494	741
600	494	740
601	495	739
602	496	738
603	496	737
604	497	735
605	498	734
606	498	733
607	499	732
608	499	731
609	500	729
610	500	728
611	501	727
612	502	726
613	502	725
614	503	724
615	504	723
616	504	722
617	505	721
618	505	719
619	506	718
620	507	717
621	507	717
622	508	715
623	509	714
624	509	713
625	510	712
626	510	711
627	511	710
628	512	709
629	512	708
630	513	707
631	514	705
632	514	704
633	515	703
634	515	702
635	516	701
636	516	700
637	517	699
638	518	698
639	519	697
640	519	696
641	520	695
642	520	694
643	521	693
644	521	691
645	522	690
646	522	689
647	523	688
648	523	687
649	524	685
650	525	684
651	525	683
652	526	682
653	526	681
654	527	680
655	527	678
656	528	677
657	528	676
658	529	675
659	529	674
660	530	673
661	530	671
662	531	670
663	532	669
664	532	669
665	533	668
666	534	667
667	534	666
668	535	665
669	536	664
670	536	663
671	537	662
672	537	661
673	538	660
674	539	659
675	539	658
676	540	657
677	541	656
678	541	655
679	542	654
680	543	653
681	543	652
682	544	651
683	545	650
684	546	649
685	546	648
686	547	647
687	547	646
688	548	645
689	548	644
690	549	643
691	549	642
692	550	641
693	551	640
694	551	639
695	552	638
696	553	637
697	553	636
698	554	635
699	554	634
700	555	633
701	555	632
702	556	631
703	557	630
704	558	629
705	558	628
706	559	627
707	560	626
708	561	625
709	561	625
710	562	624
711	563	623
712	563	622
713	564	621
714	565	620
715	565	619
716	566	618
717	567	617
718	567	616
719	568	616
720	569	614
721	569	613
722	570	612
723	570	611
724	571	610
725	572	609
726	572	608
727	573	608
728	573	606
729	574	606
730	575	605
731	575	604
732	576	603
733	577	602
734	577	601
735	578	600
736	578	599
737	579	598
738	580	597
739	580	596
740	581	595
741	582	594
742	582	593
743	583	592
744	583	591
745	584	590
746	584	589
747	585	588
748	585	587
749	586	586
750	586	585
751	587	584
752	587	583
753	588	582
754	589	581
755	589	580
756	590	579
757	590	578
758	591	577
759	591	576
760	592	575
761	593	574
762	593	573
763	594	572
764	594	571
765	595	570
766	596	569
767	596	568
